centro;nombre_centro;ensena;poblacion;fecha;albaran;comentarios;portes;total_con_iva
172;GOYA;MOTORTOWN;MADRID;2026-08-01;27564;;0;7.89
172;GOYA;MOTORTOWN;MADRID;2026-08-01;48235;;0;6.70
174;CASTELLANA;MOTORTOWN;MADRID;2026-08-01;57134;;0;30.49
174;CASTELLANA;MOTORTOWN;MADRID;2026-08-01;57140;;0;69.91
174;CASTELLANA;MOTORTOWN;MADRID;2026-08-01;57177;;0;26.74
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57141;;0;5.58
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57154;;0;-194.60
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57155;;0;-472.78
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57157;;0;-187.49
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57158;;0;10.07
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57159;;0;27.53
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57182;;0;68.07
190;SANCHINARRO;MOTORTOWN;MADRID;2026-08-01;57190;;0;111.60
199;ALCALA DE HENARES;MOTORTOWN;ALCALA DE HENARES;2026-08-01;48229;;0;78.40
199;ALCALA DE HENARES;MOTORTOWN;ALCALA DE HENARES;2026-08-01;48239;;0;46.55
199;ALCALA DE HENARES;MOTORTOWN;ALCALA DE HENARES;2026-08-01;48249;;0;6.51
199;ALCALA DE HENARES;MOTORTOWN;ALCALA DE HENARES;2026-08-01;48261;;0;10.24
202;CAMPO DE LAS NACIONES;MOTORTOWN;MADRID;2026-08-01;27565;;0;16.26
202;CAMPO DE LAS NACIONES;MOTORTOWN;MADRID;2026-08-01;48248;;0;37.78
204;SAN JOSE DE VALDERAS;MOTORTOWN;ALCORCON;2026-08-01;41506;;0;11.19
21;LEGANES;AURGI;LEGANES;2026-08-01;21478;;0;14.30
21;LEGANES;AURGI;LEGANES;2026-08-01;21484;;0;33.87
21;LEGANES;AURGI;LEGANES;2026-08-01;21488;;0;5.81
21;LEGANES;AURGI;LEGANES;2026-08-01;21489;;0;11.54
210;POZUELO DE ALARCÓN;MOTORTOWN;POZUELO DE ALARCÓN;2026-08-01;69521;;0;5.34
23;SAN SEBASTIAN;AURGI;SS REYES;2026-08-01;57127;;0;13.94
23;SAN SEBASTIAN;AURGI;SS REYES;2026-08-01;57178;;0;12.89
24;PINTO;AURGI;PINTO;2026-08-01;28272;;0;28.57
24;PINTO;AURGI;PINTO;2026-08-01;28275;;0;21.65
25;LAS ROZAS;AURGI;LAS ROZAS;2026-08-01;69491;;0;10.67
25;LAS ROZAS;AURGI;LAS ROZAS;2026-08-01;69493;;0;15.42
25;LAS ROZAS;AURGI;LAS ROZAS;2026-08-01;69524;;0;10.84
25;LAS ROZAS;AURGI;LAS ROZAS;2026-08-01;69526;;0;79.16
40;VALLECAS;AURGI;MADRID;2026-08-01;29737;;0;78.63
45;ANTONIO LOPEZ;AURGI;MADRID;2026-08-01;22683;;0;38.32
45;ANTONIO LOPEZ;AURGI;MADRID;2026-08-01;22685;;0;20.84
45;ANTONIO LOPEZ;AURGI;MADRID;2026-08-01;22687;;0;25.75
45;ANTONIO LOPEZ;AURGI;MADRID;2026-08-01;22691;;0;5.81
54;VILLALBA;AURGI;COLLADO VILLALBA;2026-08-01;55524;;0;104.42
54;VILLALBA;AURGI;COLLADO VILLALBA;2026-08-01;55537;;0;21.57
54;VILLALBA;AURGI;COLLADO VILLALBA;2026-08-01;55539;;0;20.45
56;ALCALA DE HENARES;AURGI;ALCALA DE HENARES;2026-08-01;41599;;0;21.05
56;ALCALA DE HENARES;AURGI;ALCALA DE HENARES;2026-08-01;48225;;0;21.05
56;ALCALA DE HENARES;AURGI;ALCALA DE HENARES;2026-08-01;48238;;0;10.78
57;ALCOBENDAS;AURGI;ALCOBENDAS;2026-08-01;57148;;0;-1.17
58;MOSTOLES;AURGI;MOSTOLES;2026-08-01;36480;;0;72.38
58;MOSTOLES;AURGI;MOSTOLES;2026-08-01;36483;;0;74.90
59;VALDEMORO;AURGI;VALDEMORO;2026-08-01;20885;;0;48.48
59;VALDEMORO;AURGI;VALDEMORO;2026-08-01;28261;;0;19.40
61;ALCORCON;AURGI;ALCORCON;2026-08-01;41457;;0;-223.69
