centro;nombre_centro;ensena;poblacion;fecha;albaran;referencia;marca;descripcion;unidades;pvp;dto;neto_unitario;neto;devolucion
21;LEGANES;AURGI;LEGANES;2026-08-01;21478;6PK975;GATES;6PK975 MV;1.00;24.63;0.5201;11.82;11.82;No
21;LEGANES;AURGI;LEGANES;2026-08-01;21484;50-08519;TALOSA;BIELETA DEL I/D PEUGEOT 307;2.00;27.99;0.5;14.00;27.99;No
21;LEGANES;AURGI;LEGANES;2026-08-01;21488;HU7032z;MANN-FILTER;(0) F. ACEITE MANN;1.00;15.47;0.6897;4.80;4.80;No
21;LEGANES;AURGI;LEGANES;2026-08-01;21489;C24036;MANN-FILTER;(0) F. AIRE MANN;1.00;30.78;0.6901;9.54;9.54;No
21;LEGANES;AURGI;LEGANES;2026-08-03;21717;WK918/1;MANN-FILTER;(0) F.COMBUS.RENAULT dCi. -09;1.00;59.22;0.69;18.36;18.36;No
21;LEGANES;AURGI;LEGANES;2026-08-03;21788;6120702;GIRLING;PASTILLAS DE FRENO;1.00;99.44;0.73;26.85;26.85;No
21;LEGANES;AURGI;LEGANES;2026-08-03;21882;6040361;GIRLING;JGO. DISCOS DE FRENO;1.00;129.90;0.65;45.47;45.47;No
21;LEGANES;AURGI;LEGANES;2026-08-03;21883;6040361;GIRLING;JGO. DISCOS DE FRENO;1.00;129.90;0.65;45.47;45.47;No
21;LEGANES;AURGI;LEGANES;2026-08-03;21953;21239.02;ROADHOUSE;JGO. PAST.TRAS.HYUNDAI SANTA FE;1.00;69.97;0.705;20.64;20.64;No
21;LEGANES;AURGI;LEGANES;2026-08-03;21984;6324201;GIRLING;CABLE AVISADOR;1.00;8.73;0.3998;5.24;5.24;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22082;477GSP-GK1950;GSP;COJINETE DE RUEDA;1.00;36.84;0.25;27.63;27.63;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22134;C24054;MANN-FILTER;(0) FILTRO AIRE MANN;1.00;34.06;0.69;10.56;10.56;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22135;W716/2;MANN-FILTER;(0) FILTRO ACEITE MANN;1.00;21.72;0.6901;6.73;6.73;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22150;ADN12350;BLUE PRINT;FILTRO DE CARBURANTE;1.00;11.67;0.0797;10.74;10.74;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22192;21718.00;ROADHOUSE;JGO. PASTILLA DELANTERA DACIA LOGAN;1.00;65.58;0.7049;19.35;19.35;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22203;W6025;MANN-FILTER;(0) FILTRO AC. CLIO IV;1.00;17.03;0.69;5.28;5.28;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22242;21580.00;ROADHOUSE;JGO. PASTILLAS FRENO RH;1.00;86.90;0.7049;25.64;25.64;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22243;21628.02;ROADHOUSE;JGO. PAST.  OPEL ASTRA K (06/15-);1.00;70.28;0.705;20.73;20.73;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22249;6135375;GIRLING;PASTILLAS DE FRENO;1.00;62.26;0.73;16.81;16.81;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22250;0986494691;BOSCH;Pastilla freno;1.00;86.50;0.7101;25.08;25.08;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22251;45414;FEBI BILSTEIN;SOPORTE DE MOTOR;1.00;31.28;0.3299;20.96;20.96;No
21;LEGANES;AURGI;LEGANES;2026-08-04;22253;0986479A89;BOSCH;JGO. DISCOS DE FRENO;1.00;288.00;0.6396;103.80;103.80;No
21;LEGANES;AURGI;LEGANES;2026-08-05;22399;WK939/13;MANN-FILTER;(0) F.COMBUS.MAZDA/FORD/VOLVO;1.00;117.03;0.69;36.28;36.28;No
21;LEGANES;AURGI;LEGANES;2026-08-05;22404;;FAG;Kit rueda. Wheel Set;2.00;68.84;0.3;48.19;96.38;No
21;LEGANES;AURGI;LEGANES;2026-08-05;22404;;FAG;Kit rueda. Wheel Set;2.00;53.98;0.3;37.79;75.57;No
21;LEGANES;AURGI;LEGANES;2026-08-05;22408;102WK12009;MANN-FILTER;(0) FILTRO COMBUSTIBLE;1.00;138.91;0.69;43.06;43.06;No
21;LEGANES;AURGI;LEGANES;2026-08-05;22432;6042564;GIRLING;JGO. DISCOS DE FRENO;1.00;129.82;0.65;45.44;45.44;No
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;477GSP-GK1950;GSP;COJINETE DE RUEDA;-1.00;36.84;0.25;27.63;-27.63;Si
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;0986494691;BOSCH;Pastilla freno;-1.00;86.50;0.7101;25.08;-25.08;Si
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;21718.00;ROADHOUSE;JGO. PASTILLA DELANTERA DACIA LOGAN;-1.00;65.58;0.7049;19.35;-19.35;Si
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;CU2544;MANN-FILTER;(*) F.HABIT.;-1.00;50.00;0.62;19.00;-19.00;Si
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;WK918/1;MANN-FILTER;(0) F.COMBUS.RENAULT dCi. -09;-1.00;59.22;0.69;18.36;-18.36;Si
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;C24054;MANN-FILTER;(0) FILTRO AIRE MANN;-1.00;34.06;0.69;10.56;-10.56;Si
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;6040361;GIRLING;JGO. DISCOS DE FRENO;-1.00;129.90;0.65;45.47;-45.47;Si
21;LEGANES;AURGI;LEGANES;2026-08-05;22461;6135375;GIRLING;PASTILLAS DE FRENO;-1.00;62.26;0.73;16.81;-16.81;Si
